public_id,public_id_type,paper_id
406341,CorpusId,2768
journals/corr/abs-1805-06826,DBLP,1598
23400500,CorpusId,2494
journals/corr/abs-2105-08052,DBLP,3717
36134905,PubMed,948
10.1109/ISMAR-Adjunct.2016.0074,DOI,2458
journals/corr/abs-1011-1279,DBLP,262
10.1145/210079.214028,DOI,2701
9398338,CorpusId,57
2952921050,MAG,687
2069849705,MAG,546
10.1109/TASE.2007.906142,DOI,2062
2012.12265,ArXiv,3722
2168605507,MAG,883
2141652238,MAG,3067
197460494,CorpusId,473
2134420391,MAG,2052
8499588,CorpusId,2558
10.1109/5.92043,DOI,134
1981597405,MAG,933
10.1109/WSC.2014.7020103,DOI,1956
52982921,CorpusId,2439
114620494,MAG,3651
14320,CorpusId,2520
2056845500,MAG,916
7432732,CorpusId,1628
conf/middleware/AndrusAN17,DBLP,3026
232033884,CorpusId,156
10.1007/s00446-005-0122-y,DOI,374
conf/tacas/EtessamiKVY07,DBLP,759
1910.09124,ArXiv,1061
1823886,PubMed,660
journals/jmlr/LorbertEKBR10,DBLP,1790
34533414,CorpusId,2819
10.1145/509907.509920,DOI,371
1975249115,MAG,2130
10.1145/947886.947893,DOI,3671
conf/naacl/McKeownF91,DBLP,2749
2123524055,MAG,3059
10.1145/1753846.1753916,DOI,2521
52050126,CorpusId,7
2398152130,MAG,1933
journals/corr/abs-1011-6293,DBLP,2987
38019712,CorpusId,1128
15482902,CorpusId,829
2075572162,MAG,2870
2397802321,MAG,1706
2317229735,MAG,999
2020104585,MAG,3542
journals/pvldb/SimoesGG13,DBLP,17
2905547581,MAG,2184
10.1145/3335550.3335566,DOI,1893
10.18653/v1/2021.emnlp-main.807,DOI,1538
16169719,CorpusId,1214
conf/acm/PapadimitriouAK12,DBLP,246
1541251836,MAG,100
10.1109/ISPASS.2009.4919642,DOI,3075
32314514,CorpusId,266
10.1137/080724514,DOI,745
218832761,CorpusId,2177
30796088,PubMed,1606
2950754341,MAG,98
10.1109/TCNS.2016.2620807,DOI,713
23729807,PubMed,2213
17132510,PubMed,2858
14023452,CorpusId,2379
10.1046/j.1462-5822.2002.00183.x,DOI,2871
10.1007/S00440-014-0582-8,DOI,237
2732817,CorpusId,774
10.1109/COASE.2007.4341839,DOI,2070
10.3389/fevo.2021.659570,DOI,3195
10.1007/978-3-540-69330-7_33,DOI,3604
10.1080/00207543.2020.1733125,DOI,1887
19179612,PubMed,2834
1531908439,MAG,3503
conf/icdm/KaplanB07,DBLP,1826
2443578622,MAG,1151
1196797,CorpusId,1658
10.1016/j.cie.2011.11.024,DOI,1987
8816374,CorpusId,2362
2076086557,MAG,2845
248401277,CorpusId,71
2109176692,MAG,1855
2548555805,MAG,1670
3545390,CorpusId,186
20605052,PubMed,2828
journals/corr/KucukelbirB16,DBLP,1666
27042300,PubMed,2196
conf/stacs/KoutsoupiasP99,DBLP,404
2306.17775,ArXiv,1517
10.1046/j.1365-2567.1997.00249.x,DOI,2299
2154788235,MAG,609
journals/tase/ChouCG14,DBLP,1965
2115959502,MAG,3060
10.1109/ICRA.2015.7140022,DOI,1034
2080670657,MAG,3595
1949395038,MAG,3499
journals/corr/abs-1905-10870,DBLP,1579
6509543,CorpusId,804
13384535,CorpusId,869
2034414481,MAG,2661
7164835,PubMedCentral,3205
3006423,CorpusId,2207
5713098,CorpusId,281
10.1016/j.cag.2017.04.002,DOI,2444
10.1145/964442.964462,DOI,2597
11340034,CorpusId,1149
2119539455,MAG,3063
10.1145/2699431,DOI,771
conf/usenix/DallLN17,DBLP,3025
2167188683,MAG,2857
conf/amia/PreyRQRBFSHHV15,DBLP,2464
conf/ipps/Stein01,DBLP,3474
10.1145/1026776.1026796,DOI,2604
1480633635,MAG,1749
10.1137/0212013,DOI,581
10.1007/s41660-021-00188-1,DOI,1878
235294030,CorpusId,159
conf/wads/Yannakakis01,DBLP,791
245117638,CorpusId,1540
conf/ismar/DedualOF11,DBLP,2509
10.1073/pnas.1521757113,DOI,3259
2565842,CorpusId,513
58534855,CorpusId,707
20540941,PubMed,2231
2133312402,MAG,3075
7998884,CorpusId,1841
2408942298,MAG,2391
10.1504/IJSTM.2003.003618,DOI,2106
10.1007/978-3-540-92185-1_9,DOI,281
2081684918,MAG,2956
10.1103/PHYSREVLETT.96.011302,DOI,1305
37722984,CorpusId,133
1410.4627,ArXiv,3773
8288440,PubMed,2888
2409171070,MAG,3416
11515679,CorpusId,313
10.1145/3186260,DOI,1594
2099503425,MAG,1363
871710,CorpusId,2956
conf/esa/FeldmanHKMS10,DBLP,3423
journals/corr/abs-1901-04153,DBLP,170
10.1109/WSC.2008.4736322,DOI,2053
30277131,PubMed,2792
18992508,CorpusId,936
journals/neuroimage/GershmanBPN11,DBLP,1767
21978594,PubMed,1007
2070497154,MAG,3455
10916455,CorpusId,3311
journals/siamcomp/Papadimitriou92,DBLP,488
84285516,CorpusId,3367
2084045362,MAG,2103
journals/jacm/Papadimitriou79b,DBLP,629
2530271,CorpusId,910
10.1111/hel.12897,DOI,2163
3817714,CorpusId,1634
journals/corr/abs-1904-01766,DBLP,3736
10.1128/AAC.00375-07,DOI,2248
15908645,CorpusId,1753
journals/informs/KoutsoupiasPS92,DBLP,494
conf/gpce/SolodkyyRS13,DBLP,3542
2092183701,MAG,829
10.1007/3-540-45995-2_2,DOI,372
10.7554/eLife.76344,DOI,3177
250520326,CorpusId,3000
247997008,CorpusId,665
10.1103/PhysRevLett.100.241805,DOI,1230
2005.14111,ArXiv,701
10.4338/ACI-2011-05-RA-0034,DOI,2507
2740010192,MAG,2939
10.1016/S0003-3472(81)80170-4,DOI,3356
10.1038/srep37762,DOI,996
80820463,CorpusId,2849
2616889532,MAG,1638
231721255,CorpusId,953
19257343,PubMed,1183
553776,CorpusId,863
35789267,PubMed,2780
2022.naloma-1.4,ACL,695
conf/uist/2004,DBLP,2608
22763883,PubMed,2810
4034824,CorpusId,2461
2170033850,MAG,1278
2074029111,MAG,2966
2950620323,MAG,3735
2055298790,MAG,828
17155383,PubMed,1302
9488549,PubMed,649
10.1101/2023.09.12.557474,DOI,2896
2079300367,MAG,803
10.1016/j.astropartphys.2018.08.006,DOI,1073
10.1109/SMTW.2000.883099,DOI,2120
2107.05746,ArXiv,699
33520962,CorpusId,2281
2578305,CorpusId,190
10.1007/978-3-642-32589-2_8,DOI,733
2822166,PubMed,2369
41979618,CorpusId,332
1601173,CorpusId,434
conf/icalp/DaskalakisFP06,DBLP,315
2296242069,MAG,1682
2787052186,MAG,3769
38070582,CorpusId,2698
261966815,CorpusId,2896
conf/iswc/GuvenF03,DBLP,2613
2168787235,MAG,270
10.1007/3-540-10003-2_92,DOI,616
journals/entropy/PapadimitriouP18,DBLP,182
2306.12497,ArXiv,1514
10.1016/j.scico.2009.06.002,DOI,3561
journals/cor/ChienCH15,DBLP,1942
1716792,CorpusId,1220
2019565144,MAG,753
10.1016/j.tree.2016.10.004,DOI,210
10.1002/(SICI)1097-0215(19990517)81:4<519::AID-IJC3>3.0.CO;2-0,DOI,2878
journals/jasis/McKeownDCPTBBBC16,DBLP,12
3091245808,MAG,2929
2061987651,MAG,854
1992944943,MAG,811
journals/corr/abs-2006-15657,DBLP,3723
10.1145/212433.212436,DOI,451
16985810,CorpusId,3428
2964007666,MAG,722
conf/ismar/HendersonF11,DBLP,2510
2120676296,MAG,2557
39003588,CorpusId,1957
10.1145/3340320,DOI,3392
2057731717,MAG,3623
254438944,CorpusId,2903
19113612,PubMed,1244
2047735395,MAG,3530
conf/opodis/DechevPS06,DBLP,3598
10.1007/s10384-012-0153-4,DOI,1006
10.1103/PHYSREVLETT.90.251802,DOI,1388
41233811,CorpusId,2857
2487310,CorpusId,2685
2212.07815,ArXiv,3694
12673773,CorpusId,506
2145297839,MAG,344
1983930193,MAG,1418
13160210,CorpusId,65
1482647296,MAG,771
10.1145/3477132.3483560,DOI,3007
10.1182/blood-2012-06-438234,DOI,2802
10.1016/j.cie.2014.07.012,DOI,1946
1708.08869,ArXiv,1079
10.1073/pnas.0609840104,DOI,3311
214407624,CorpusId,164
10.7916/D8ZW1W9V,DOI,3103
52817058,CorpusId,1930
conf/ifipTCS/Yannakakis06,DBLP,765
0905.1478,ArXiv,1143
conf/stacs/Yannakakis90,DBLP,870
10.1145/3173574.3173822,DOI,2433
10.1371/journal.pone.0045088,DOI,2222
22661397,PubMed,1006
10.1109/TIT.2006.887523,DOI,3463
10.2139/ssrn.4380127,DOI,2894
234428539,CorpusId,3386
40449964,CorpusId,1466
137082574,MAG,721
10.1145/1658939.1658955,DOI,3432
2036074375,MAG,48
8605363,PubMed,2301
2896274930,MAG,182
3029759078,MAG,1886
10.1111/MAM.12165,DOI,3215
165206906,MAG,606
2219868088,MAG,725
5591827,CorpusId,3663
2559838,CorpusId,2977
conf/stoc/PapadimitriouS82,DBLP,586
10.1109/TIT.2006.881844,DOI,2151
43368624,CorpusId,252
2374662,CorpusId,2502
10.1007/3-540-48320-9_10,DOI,800
2011479968,MAG,2371
2150176148,MAG,3048
0706.2358,ArXiv,1429
0803.0030,ArXiv,1230
44996661,CorpusId,3655
2113139394,MAG,363
385942,CorpusId,3442
4664994,CorpusId,3463
1909.03210,ArXiv,706
10.1109/SFCS.1995.492665,DOI,458
10.1109/WSC.2011.6147903,DOI,2011
597258,PubMed,2408
2418740,CorpusId,906
6303684,PubMed,2381
189926536,CorpusId,3017
conf/cccg/DrysdaleSW05,DBLP,3459
10.1145/102782.102784,DOI,506
11320071,PubMed,2644
2105.08052,ArXiv,3717
journals/jcss/DengPS03,DBLP,359
10.1145/2840728.2840731,DOI,215
5093134,CorpusId,3144
8893884,CorpusId,852
2119033610,MAG,1681
journals/ploscb/KnowlesBP19,DBLP,2932
10.1006/BIOL.1996.0041,DOI,2309
journals/tase/KhakifiroozCC20,DBLP,1881
10.1145/2949741.2949758,DOI,11
2113755672,MAG,2583
45958610,CorpusId,776
118366889,MAG,2824
10946394,CorpusId,2270
44849739,CorpusId,1414
10.1109/TASE.2013.2277603,DOI,1966
journals/cacm/ShekharFA16,DBLP,2469
1387786,CorpusId,2557
journals/fmsd/YannakakisL97,DBLP,813
2013842855,MAG,807
10.1145/1288107.1288131,DOI,313
2402698,CorpusId,2532
6555538,PubMedCentral,2932
conf/group/Feiner88,DBLP,2760
16078086,CorpusId,229
10.1109/FSCS.1990.89602,DOI,510
3201041,CorpusId,2302
10.1007/0-387-25229-0_4,DOI,53
conf/pods/PapadimitriouY85,DBLP,897
journals/iandc/EphremidisPS88,DBLP,541
1854804319,MAG,2285
10.1097/IJG.0000000000001390,DOI,970
10.1007/3-540-09510-1_36,DOI,940
books/crc/99/KargerSW99,DBLP,3465
1498335309,MAG,3568
2473718583,MAG,3250
24580434,PubMed,1106
conf/usenix/NiehVZ01,DBLP,3147
1625281,CorpusId,2634
2733097,CorpusId,2605
1659045240,MAG,3423
journals/corr/abs-1909-03478,DBLP,3389
10.1145/159544.159587,DOI,2715
55229626,MAG,435
conf/waw/FoudalisJPS11,DBLP,259
10.1145/2858036.2858068,DOI,2452
conf/icra/DaiTDGAGC15,DBLP,1034
conf/3dpvt/BlaerA06,DBLP,143
30165488,CorpusId,1219
7481714,PubMedCentral,3211
12760902,CorpusId,2764
35084954,PubMed,3172
256386459,CorpusId,3170
journals/algorithmica/KleinS93,DBLP,3457
1538761287,MAG,2015
7269686,CorpusId,3080
12005624,PubMed,1400
1638420,CorpusId,308
2976071174,MAG,3014
10.1016/j.anbehav.2018.09.007,DOI,3232
2994547581,MAG,1882
conf/icde/JainIDG09,DBLP,32
10.1007/PL00000728,DOI,2288
2211.11183,ArXiv,1523
8291707,PubMedCentral,951
2498319906,MAG,2676
conf/eccv/BelhumeurCFJKLLRSWZ08,DBLP,2541
10.1016/j.geb.2018.03.016,DOI,712
10.1145/1143844.1143859,DOI,1840
conf/ipco/IyengarPS05,DBLP,3456
4714874,CorpusId,3225
33431917,PubMed,3715
37076760,CorpusId,438
journals/network/DuchampFM91,DBLP,2738
32992279,CorpusId,2871
9889755,PubMedCentral,3168
10.1007/s12080-012-0169-x,DOI,3275
10.1109/SFCS.1988.21950,DOI,883
conf/chi/FeinerM91,DBLP,2741
1834059793,MAG,3256
2560991,CorpusId,3757
10.1007/978-3-030-01252-6_20,DOI,3744
11813125,CorpusId,2667
10.1109/SFCS.2003.1238178,DOI,355
1981150151,MAG,2341
978560,CorpusId,268
2022.naacl-demo.7,ACL,3695
10.13016/M26GIH-TNYZ,DOI,3760
journals/corr/abs-2211-11903,DBLP,3692
journals/geb/PapadimitriouPP22,DBLP,152
24811890,CorpusId,2350
2978480507,MAG,3016
10.1016/S0304-3975(00)00399-6,DOI,386
10.1109/TSM.2015.2439054,DOI,1943
253734863,CorpusId,1523
9721494,PubMedCentral,3181
10.1007/s11263-012-0564-1,DOI,3776
2061851712,MAG,683
248914131,CorpusId,1529
13639480,CorpusId,2972
10.1145/3383313.3412225,DOI,1562
10.53537/JSEP.2021.07.003,DOI,3193
2100732491,MAG,3268
10.1109/CVPR.2011.5995586,DOI,3780
189953169,CorpusId,1907
journals/dam/PapadimitriouSY93,DBLP,838
10.1109/TSM.2013.2291838,DOI,1968
10.2312/vvg.20031017,DOI,2626
18160502,CorpusId,3067
16956924,CorpusId,3674
10.1109/12.272431,DOI,833
10.1109/ISMARW.2015.26,DOI,2465
202539552,CorpusId,3389
10.1016/0020-0190(81)90050-8,DOI,923
2133541283,MAG,3057
journals/corr/DiengTRPB16,DBLP,1670
45977146,CorpusId,2025
44054119,CorpusId,2082
16391551,CorpusId,633
conf/ismar/HaFW14,DBLP,2473
conf/pods/KolaitisP88,DBLP,532
conf/focs/Yannakakis83,DBLP,910
7539695,PubMedCentral,2785
7691138,CorpusId,3503
1781153,CorpusId,602
10.3341/kjo.2011.25.2.77,DOI,1008
252010477,CorpusId,2414
8207233,CorpusId,816
1523437677,MAG,360
10.1145/3178876.3185999,DOI,1596
14994398,CorpusId,2585
journals/ita/AfratiCPPP86,DBLP,547
10.1145/379437.379496,DOI,85
18999818,PubMed,1213
10.1099/00221287-134-1-37,DOI,2363
6916084,CorpusId,2581
10.7916/D87P957Q,DOI,3053
2131327859,MAG,2003
37903820,CorpusId,1920
10.1609/icwsm.v5i1.14081,DOI,24
2614865032,MAG,677
2156950966,MAG,369
2094998921,MAG,1945
1210.6738,ArXiv,1746
conf/isit/DrineaFK09,DBLP,2145
7155531,CorpusId,3426
journals/candie/WangCC17,DBLP,1919
2964119755,MAG,3403
conf/focs/PapadimitriouSS08,DBLP,292
2999304060,MAG,2427
257184773,CorpusId,3167
10.1016/j.cie.2012.07.001,DOI,1980
2950413897,MAG,1712
conf/pods/KanellakisP82,DBLP,596
5849258,CorpusId,34
10.1109/CVPR.2009.5206800,DOI,1804
28312606,CorpusId,811
237381346,CorpusId,2920
45731624,CorpusId,916
2006762481,MAG,2059
36409767,PubMed,3181
10.1016/0022-0000(86)90017-6,DOI,890
journals/jc/GeorgakopoulosKP88,DBLP,527
3141565,PubMed,2363
10.1109/ICDE.2007.367880,DOI,44
1495,CorpusId,2620
2044667552,MAG,274
31387114,PubMed,972
conf/ismar/OdaF12,DBLP,2492
journals/tvcg/HendersonF10,DBLP,2519
journals/tods/IpeirotisAJG07,DBLP,47
2060010299,MAG,1340
conf/sigmod/ChaudhuriG96,DBLP,120
2165148603,MAG,936
2897866090,MAG,2439
2395261558,MAG,2452
1995368504,MAG,1679
2462054475,MAG,994
35688796,CorpusId,3273
10.1145/113413.113415,DOI,866
10.1016/j.phycom.2012.05.005,DOI,2142
2114835066,MAG,3144
10.4049/jimmunol.165.4.2156,DOI,2876
conf/soda/SteinZ18,DBLP,3399
25125592,PubMed,2201
2077773210,MAG,3045
1988631165,MAG,3321
43881333,CorpusId,3478
10.1007/s10845-013-0746-x,DOI,1960
1312.6249,ArXiv,239
6293372,CorpusId,3289
2124580127,MAG,305
10.1016/S0019-9958(79)90173-6,DOI,939
journals/internet/DouglisN19,DBLP,3015
10.1145/1379759.1379762,DOI,290
journals/corr/abs-2111-08267,DBLP,670
10.4230/LIPIcs.ITCS.2020.18,DOI,706
2320850569,MAG,1272
10.1145/1458082.1458320,DOI,37
conf/sigsoft/AlurY98,DBLP,810
15027955,CorpusId,2197
2069255833,MAG,460
conf/uist/BellFH01,DBLP,2641
1504.02411,ArXiv,215
2329018404,MAG,1349
10.1103/PhysRevLett.98.221801,DOI,1331
121502853,CorpusId,322
10.1038/s41588-017-0004-9,DOI,2944
23950224,PubMed,1733
journals/eswa/ChienWC07,DBLP,2063
1411.2581,ArXiv,1717
10.1137/S0097539797327180,DOI,3497
35964641,CorpusId,370
2047820376,MAG,488
237378519,CorpusId,698
1512340,PubMed,658
3021013053,MAG,76
10.1109/NETCOD.2008.4476183,DOI,2147
227744935,CorpusId,3728
391481,CorpusId,2196
1977553951,MAG,820
10.1007/978-3-031-24866-5_1,DOI,154
10.1109/TASE.2019.2894668,DOI,1899
10617056,CorpusId,377
10.1145/233269.233323,DOI,120
59943292,CorpusId,1982
conf/webdb/2004,DBLP,61
10.1002/isaf.273,DOI,2081
1849716,PubMed,2349
10.1128/IAI.01299-15,DOI,2794
10.1145/112600.112606,DOI,857
conf/ismar/LiuWTF22,DBLP,2417
10.1145/1462153.1462154,DOI,768
2094951132,MAG,1827
10.1145/2756547,DOI,2469
conf/icalp/DiakonikolasPPS12,DBLP,247
journals/tods/BrunoCG02,DBLP,75
2203.00758,ArXiv,3688
10.1145/1292609.1292611,DOI,47
247017627,CorpusId,2908
conf/icml/BleiJ04,DBLP,1855
conf/hopl/Stroustrup93,DBLP,3639
1503.01508,ArXiv,3764
5737020,CorpusId,1429
10.1002/J.1538-7305.1984.TB00061.X,DOI,3668
1946548,CorpusId,1848
2113209,PubMedCentral,2379
1589540978,MAG,1201
10.1007/BF01293268,DOI,504
2106144697,MAG,3447
10.1109/VR.2005.27,DOI,2581
10.1002/ece3.8693,DOI,3174
10.1109/FOCS.2008.84,DOI,287
52857002,CorpusId,878
9879642,CorpusId,1133
2409072875,MAG,1279
2305.15804,ArXiv,692
conf/case/ChenWWWC17,DBLP,1927
10.1137/07070440X,DOI,318
10.1007/11901914_1,DOI,763
10.1086/283227,DOI,3367
18223154,CorpusId,809
10.1109/ICCV.2013.8,DOI,3774
14866689,CorpusId,2738
conf/focs/PapadimitriouW85,DBLP,566
10.1051/ita/1986200100791,DOI,547
10.1103/PhysRevLett.102.092001,DOI,1267
227049196,CorpusId,3042
10.1109/TVCG.2022.3181262,DOI,2411
10.1145/225058.225161,DOI,828
44820710,CorpusId,2303
1811.11683,ArXiv,3740
2158505527,MAG,566
10.1016/J.JOCA.2019.02.290,DOI,2183
10.1109/SUPERC.1992.236639,DOI,2732
1992044086,MAG,595
255977490,CorpusId,2926
2294471056,MAG,3549
6354313,CorpusId,269
conf/osdi/OlshefskiNN04,DBLP,3123
conf/sigmod/BrunoCG01,DBLP,93
2037607644,MAG,116
journals/candie/HuynhHC18,DBLP,1904
conf/icde/BrunoGKS03,DBLP,74
2016532080,MAG,1001
10.3390/met11101627,DOI,2914
2963426332,MAG,3742
1554106538,MAG,742
46766477,CorpusId,2312
2919846155,MAG,2180
219752773,CorpusId,2923
2153034112,MAG,1791
255704211,CorpusId,2548
19518696,PubMed,1217
31403679,PubMed,193
42842776,CorpusId,1363
2154665772,MAG,514
2112.07076,ArXiv,3711
2115960060,MAG,2048
9019859,CorpusId,379
3175569584,MAG,960
2949090920,MAG,181
10.1007/BFb0052526,DOI,109
10777031,CorpusId,599
conf/vr/Feiner03,DBLP,2624
43140915,CorpusId,2818
2087339238,MAG,657
2012935476,MAG,875
1625118583,MAG,3529
8897558,CorpusId,932
conf/wine/Yannakakis06,DBLP,766
250144405,CorpusId,1520
journals/corr/abs-2205-01247,DBLP,3378
17190823,PubMed,3311
10.1371/journal.pone.0029313,DOI,2825
conf/pods/BeeriKP09,DBLP,272
2913190547,MAG,671
22159281,PubMed,2814
journals/tase/ChienCHW14,DBLP,1958
2744611718,MAG,987
2057872099,MAG,2619
26236862,PubMed,3252
1603.07981,ArXiv,3411
8445306,CorpusId,1331
10.1007/978-3-642-39212-2_20,DOI,729
journals/jcgs/TanseyVZRB22,DBLP,1615
journals/sigact/AhoJKKMPP97,DBLP,437
conf/semeval/ChangDB07,DBLP,1819
10.1103/PhysRevLett.94.161801,DOI,1380
6929908,CorpusId,2005
2152986618,MAG,830
conf/si3d/ChinF92,DBLP,2724
29214549,CorpusId,2322
2064335940,MAG,251
10.4108/ICST.INTETAIN2008.2472,DOI,2550
45128411,CorpusId,406
2886977528,MAG,2438
2065474493,MAG,2718
2950979099,MAG,2945
10.1145/195058.195445,DOI,829
conf/ismar/OlwalBF03,DBLP,2617
10.1145/311625.311941,DOI,2667
85519262,CorpusId,3019
10.1109/ISMAR.2006.297821,DOI,2570
conf/icml/LiuB17,DBLP,1633
229363617,CorpusId,1052
9270259,PubMedCentral,2909
247832275,CorpusId,3179
2307.07849,ArXiv,1515
251195156,CorpusId,2778
2098891573,MAG,2291
8771748,CorpusId,3098
1605223620,MAG,746
journals/ors/WuC08,DBLP,2056
10.1002/fsh.10695,DOI,3187
journals/aci/PreyWSRRBFHVW16,DBLP,2461
10.1145/308386.308446,DOI,532
2110.10804,ArXiv,1536
33156646,CorpusId,547
0811.2173,ArXiv,1240
2914621876,MAG,2445
109938487,CorpusId,3217
1989723858,MAG,506
12115243,PubMed,2278
18233437,PubMed,1297
1996688998,MAG,2212
conf/c++/Stroustrup88,DBLP,3653
10.1016/j.cct.2016.01.005,DOI,2450
8596971,CorpusId,3763
12026625,CorpusId,1978
10034602,PubMed,1469
conf/podc/CypherG92,DBLP,131
2622672307,MAG,1918
6723468,CorpusId,41
2165016775,MAG,2574
2119984268,MAG,3147
2204613168,MAG,1758
2064461,CorpusId,1716
1994062596,MAG,2056
conf/uist/FeinerB90,DBLP,2752
16869674,CorpusId,3097
1048233,CorpusId,772
8004060,PubMed,2330
conf/nips/BleiGJT03,DBLP,1857
journals/jcss/PapadimitriouSV99,DBLP,445
10.1103/PHYSREVLETT.101.241801,DOI,1244
10.1016/S0097-8493(01)00122-4,DOI,2647
46519926,MAG,3772
2963476931,MAG,1623
10.1145/3542700.3542718,DOI,697
journals/jco/CrescenziDP01,DBLP,384
conf/aaai/GogicPS94,DBLP,476
14112658,CorpusId,1311
14773163,CorpusId,1953
10.1371/journal.pcbi.1006743,DOI,2932
1001.5076,ArXiv,3423
10.1109/ISMAR.2009.5336486,DOI,2537
journals/corr/abs-2306-03228,DBLP,3171
10.1007/3-540-58201-0_92,DOI,835
14797228,CorpusId,900
8023175,CorpusId,2739
11077893,CorpusId,3423
91667104,CorpusId,2935
20899184,CorpusId,2061
29924074,CorpusId,2309
10.1073/pnas.1109065108,DOI,2820
10.1109/ICCV48922.2021.00960,DOI,3720
2211.11903,ArXiv,3692
10.1111/pim.12603,DOI,2185
10.1145/800061,DOI,584
37400521,PubMed,2900
23328142,CorpusId,2290
23789143,CorpusId,3278
2055336889,MAG,591
11369791,CorpusId,928
9178692,CorpusId,1666
10.4230/LIPIcs.SEA.2017.10,DOI,3404
252693262,CorpusId,3691
10.1098/rsos.211515,DOI,3186
1517988587,MAG,858
15245211,PubMed,1387
conf/wsc/ChienDEFJKMU08,DBLP,2052
2057016016,MAG,2473
1806.09594,ArXiv,3742
conf/avss/OhHPCCLMALDSWJRSVPRYTSFCD11,DBLP,3778
183305,CorpusId,32
reference/crc/PaisleyBJ14,DBLP,1706
10.1103/PhysRevLett.97.241801,DOI,1324
conf/cav/AlurIKY92,DBLP,848
2947963424,MAG,3443
27266873,CorpusId,2725
1895489804,MAG,1283
10.1093/RHEUMATOLOGY/KEZ106.013,DOI,2181
16486434,PubMed,1305
10.1145/2983310.2985764,DOI,2457
11804624,CorpusId,530
conf/siggraph/FeinerND81,DBLP,2770
2936315697,MAG,2183
2101549738,MAG,2148
1977935038,MAG,3033
2126789540,MAG,1244
10936221,CorpusId,437
17151292,PubMed,2857
10.1109/IM.2001.924477,DOI,150
13443410,CorpusId,3556
10.1109/MMCS.1994.292456,DOI,469
conf/spaa/BermanGPS92,DBLP,130
journals/corr/abs-2012-12265,DBLP,3722
2160149718,MAG,3073
5187557,CorpusId,771
53845347,CorpusId,3740
conf/focs/DevanurPSV02,DBLP,376
10.1109/COASE.2017.8256192,DOI,1923
1147194,CorpusId,1322
253334884,CorpusId,1875
conf/3dui/FernandesF16,DBLP,2462
2963987720,MAG,1599
212688705,CorpusId,3013
2982658424,MAG,1567
2079678870,MAG,2118
journals/ipl/KolliasMP90,DBLP,518
series/synthesis/2017Bugnion,DBLP,3027
2783371800,MAG,1927
209695815,CorpusId,2427
conf/dimacs/HolzmannPY96,DBLP,820
conf/oopsla/SolodkyyRS12,DBLP,3548
10.1007/BFb0019270,DOI,3158
49319976,CorpusId,1917
2306.08754,ArXiv,3677
conf/ismar/HendersonF09,DBLP,2537
10.1002/SPE.4380251304,DOI,3635
10.1090/surv/209/05,DOI,454
2947442676,MAG,1569
2142921329,MAG,734
967235,CorpusId,1676
11729019,CorpusId,280
10.1145/2872427.2883090,DOI,1674
10.1145/1132516.1132526,DOI,317
22937062,CorpusId,2267
3796515,CorpusId,1638
conf/sle/SuttonS11,DBLP,3557
10.1002/rob.20318,DOI,140
2148447210,MAG,1356
8030563,CorpusId,1863
53184070,CorpusId,3338
0802.2400,ArXiv,1219
2016521402,MAG,3517
10.1137/0211056,DOI,591
journals/tit/DrineaM07,DBLP,2148
27260856,CorpusId,2356
1493173186,MAG,788
102352873,CorpusId,3735
