paper_id,title,abstract,date_published,url
1250,Dark matter detection with cryogenic detectors,"Direct detection of dark matter in the form of Weakly-Interacting Massive Particles (WIMPS) is an active field of research. Cryogenic detectors have been in the forefront of the field, due to their exquisite ability to reject backgrounds from interactions of normal matter. In this paper, I describe the current status and future prospects for such experiments.",2008-07-01,https://www.semanticscholar.org/paper/bb362b42ba45af68460dda0644743992f2219170,
216,Locally Adaptive Optimization: Adaptive Seeding for Monotone Submodular Functions,"The Adaptive Seeding problem is an algorithmic challenge motivated by influence maximization in social networks: One seeks to select among certain accessible nodes in a network, and then select, adaptively, among neighbors of those nodes as they become accessible in order to maximize a global objective function. More generally, adaptive seeding is a stochastic optimization framework where the choices in the first stage affect the realizations in the second stage, over which we aim to optimize. Our main result is a (1 -- 1/e)2-approximation for the adaptive seeding problem for any monotone submodular function. While adaptive policies are often approximated via non-adaptive policies, our algorithm is based on a novel method we call locally-adaptive policies. These policies combine a non-adaptive global structure, with local adaptive optimizations. This method enables the (1 -- 1/e)2-approximation for general monotone submodular functions and circumvents some of the impossibilities associated with non-adaptive policies. We also introduce a fundamental problem in submodular optimization that may be of independent interest: given a ground set of elements where every element appears with some small probability, find a set of expected size at most k that has the highest expected value over the realization of the elements. We show a surprising result: there are classes of monotone submodular functions (including coverage) that can be approximated almost optimally as the probability vanishes. For general monotone submodular functions we show via a reduction from P lanted -C lique that approximations for this problem are not likely to be obtainable. This optimization problem is an important tool for adaptive seeding via non-adaptive policies, and its hardness motivates the introduction of locally-adaptive policies we use in the main result.",2015-07-09,https://www.semanticscholar.org/paper/2d0a8afb099cbd1afb8d4635d4fd0813f94cf4f8,ACM-SIAM Symposium on Discrete Algorithms
1951,A Framework for Root Cause Detection of Sub-Batch Processing System for Semiconductor Manufacturing Big Data Analytics,"Root cause detecting and rapid yield ramping for advanced technology nodes are crucial to maintain competitive advantages for semiconductor manufacturing. Since the data structure is increasingly complicated in a fully automated wafer fabrication facility, it is difficult to diagnose the whole production system for fault detection. A number of approaches have been proposed for fault diagnosis and root cause detection. However, many constraints in real settings restrict the usage of conventional approaches, due to the big data with complicated data structure. In particular, a batch may not be considered as a run in the present sub-batch processing system for wafer fabrication, in which the processing paths of the wafers in a batch could be different. Motivated by realistic needs, this paper aims to develop a root cause detection framework for the sub-batch processing system. Briefly, the proposed framework consists of three phases: data preparation, data dimension reduction, and the sub-batch processing model construction and evaluation. The proposed approach has been validated by a sequence of simulations and an empirical study conducted in a leading semiconductor manufacturing company in Taiwan. The results have shown practical viability of the proposed approach. Indeed, the developed approach is incorporated in the engineering data analysis system in this case company.",2014-09-09,https://www.semanticscholar.org/paper/0baf6e977362cc537010d76d50613051c5c1d6c5,IEEE transactions on semiconductor manufacturing
3038,A measurement study of google play,"Although millions of users download and use third-party Android applications from the Google Play store, little information is known on an aggregated level about these applications. We have built PlayDrone, the first scalable Google Play store crawler, and used it to index and analyze over 1,100,000 applications in the Google Play store on a daily basis, the largest such index of Android applications. PlayDrone leverages various hacking techniques to circumvent Google's roadblocks for indexing Google Play store content, and makes proprietary application sources available, including source code for over 880,000 free applications. We demonstrate the usefulness of PlayDrone in decompiling and analyzing application content by exploring four previously unaddressed issues: the characterization of Google Play application content at large scale and its evolution over time, library usage in applications and its impact on application portability, duplicative application content in Google Play, and the ineffectiveness of OAuth and related service authentication mechanisms resulting in malicious users being able to easily gain unauthorized access to user data and resources on Amazon Web Services and Facebook.",2014-06-16,https://www.semanticscholar.org/paper/a58b4e6528a9c2698edd45ac1e16e017b82143b8,Measurement and Modeling of Computer Systems
2282,Microbial Cell Wall Oligomannan Inhibits Neutrophil Chemiluminescence: A Possible Mechanism for Granuloma Formation in Crohn's Disease?,,2002-03-01,https://www.semanticscholar.org/paper/cb3dcef44880424bf196ceef6795ee6f1a67561d,
929,Issues of correctness in database concurrency control by locking,"Our aim in this paper is to show that there is a mathematically inherent reason why existing systems enforce D-serializability (rather than just because of its simplicity): it is because they are based on locking. Our main result is a characterization of the power of locking which states that if a locking policy is safe then it must allow only D-serializable schedules. Furthermore any such schedule can be produced by some safe locking policy.
 The rest of the paper is organized as follows. In Section 2 we formalize our concepts and describe the model. In Section 3 we characterize D-serializability in semantic terms. In Section 4 we examine when a set of transactions can be let to run safely by themselves without locking or any intervention from the scheduler. Section 5 is concerned with locking policies and in Section 6 we discuss some implications of our results.",1981-05-11,https://www.semanticscholar.org/paper/fa87e502eb71cf480a25602354704c89af8d6ce1,Symposium on the Theory of Computing
395,Algorithmic aspects of protein folding and protein structure similarity,"In this dissertation, we study two important computational biological problems inspired by the structures of proteins. The first is the protein folding problem. The object of this problem is to determine a protein's structure given its linear amino acid sequence. We consider a widely-accepted model of protein folding, the two-dimensional hydrophobichydrophilic model, which was formulated by Dill in 1990. This model abstracts what is thought to be the dominant force in protein folding, that hydrophobic amino acids tend to cluster together in order to avoid exposure to water, and the protein is modelled as a two-dimensional self-avoiding walk in the square lattice. This model was proposed as an ultimate simplification of protein folding. We answer the open question of the protein folding problem's tractability in this model by proving it is NP-hard. 
The second problem, protein structure similarity, focuses on determining a measure of the similarity of two protein structures. We consider the contact map overlap measure, which was formulated by Godzik, Skolnick, and Kolinski in 1993. This measure involves finding an order-preserving mapping between subsets of the protein amino acid sets so that the largest possible number of nearby amino acid pairs, or contacts, is preserved. The study of contact maps, graphs whose edges capture these nearby amino acid pairs, is interesting in itself. We provide polynomial-time algorithms for computing the contact map overlap of special classes of contact maps, including stacks and two new classes called staircases and augmented staircases. Using these algorithms, we derive a 2-approximation algorithm for computing the contact overlap of any two RNA structures. We study contact maps using a self-avoiding walk in the two-dimensional square lattice as a protein model. We prove structural theorems establishing that the contact maps induced by self-avoiding walks can be decomposed into two stacks and one queue, or two augmented staircases and one stack. As a corollary to these theorems, we derive a 3-approximation algorithm for computing the contact map overlap of walks. Finally, we prove that computing contact overlap is NP-complete, even when the contact maps are induced by self-avoiding walks. To our knowledge, this is the first theoretical study of protein structure similarity.",,https://www.semanticscholar.org/paper/7477b57de38b1efa4b1efd3e07c99ac834860436,
782,Compression of Partially Ordered Strings,,2003-09-03,https://www.semanticscholar.org/paper/f430e4abf2ef6447572e23f892e9d78b08247f30,International Conference on Concurrency Theory
1026,Control and locomotion of hydrodynamically coupled rigid spheres,"The coupling interactions between two spherical swimmers in an ideal fluid have known analytic approximations for certain types of motion. We apply these results to produce locomotion and coordination through the actuation of internal masses inside each swimmer. Through control of either both swimmers or one of them, the latter case taking advantage of compliance in the passive swimmer, desired motion along the spheres' line of centers can be achieved. We subsequently treat general 2D motion as a superposition of motion components along and perpendicular to the spheres' line of centers, leading to a derivation of a full model of controlled locomotion and coordination of two spheres in a planar fluid.",2017-05-01,https://www.semanticscholar.org/paper/0e613a415a30ac06a937644bcd070284bd43e4eb,American Control Conference
2285,BCL‐2 family expression in human neutrophils during delayed and accelerated apoptosis,"The human neutrophil spontaneously undergoes apoptosis, but this type of cell death can be delayed or accelerated by a wide variety of agents. There are wide discrepancies in the literature regarding the expression of the Bcl‐2 family of proteins in human neutrophils. Here, we show that A1, Mcl‐1, Bcl‐XL, and Bad are major transcripts in human neutrophils and that levels of these transcripts are cytokine regulated. However, no Bcl‐XL protein was detected in Western blots. Protein levels for the proapoptotic proteins Bad, Bax, Bak, and Bik remained constant during culture, despite changes in the levels of mRNA for these gene products. These proapoptotic proteins were extremely stable, having very long half‐lives. In contrast, A1 and Mcl‐1 transcripts were extremely unstable (with ∼3‐h half‐lives), and Mcl‐1 protein was also subject to rapid turnover. These results indicate that neutrophil survival is regulated by the inducible expression of the short‐lived Mcl‐1 and possibly the A1 gene products. In the absence of their continued expression, these prosurvival gene products are rapidly turned over, and then the activity of the stable death proteins predominates and promotes apoptosis.",2001-11-01,https://www.semanticscholar.org/paper/90865be31e0bd92e2d2866a0f3004d7be598033a,Journal of Leukocyte Biology
1498,ouble parton interactions in 7 + 3 jet events in p p collisions at ^ / s = 1 . 96 TeV,,,https://www.semanticscholar.org/paper/40f365375d0fbafa872da9bf2d792879c7de9567,
1677,Bayesian Nonparametric Models,,,https://www.semanticscholar.org/paper/47658bb25ed3ed76a44b6c4e8ff2e20ded61809e,
1804,Simultaneous image classification and annotation,"Image classification and annotation are important problems in computer vision, but rarely considered together. Intuitively, annotations provide evidence for the class label, and the class label provides evidence for annotations. For example, an image of class highway is more likely annotated with words “road,” “car,” and “traffic” than words “fish,” “boat,” and “scuba.” In this paper, we develop a new probabilistic model for jointly modeling the image, its class label, and its annotations. Our model treats the class label as a global description of the image, and treats annotation terms as local descriptions of parts of the image. Its underlying probabilistic assumptions naturally integrate these two sources of information. We derive an approximate inference and estimation algorithms based on variational methods, as well as efficient approximations for classifying and annotating new images. We examine the performance of our model on two real-world image data sets, illustrating that a single model provides competitive annotation performance, and superior classification performance.",2009-06-20,https://www.semanticscholar.org/paper/7fdf31d5ebdd293b3027e6555e256a936ff5515a,2009 IEEE Conference on Computer Vision and Pattern Recognition
2635,P Information Displays in Ar View Management Information at a Glance______________________________ Visualization Viewpoints Asking for More Information Graphics Accelerator and a Centimeter-level-accurate Real-time-kinematic Global Positioning System and Global Navigation Satellite System (glonass) ,"ersonal digital assistants (PDAs) combined with wireless networking are beginning to let mobile users access the same information they once used only from the office or at home. However, researchers have long realized that it's important not to treat mobile computing simply as a scaled-down version of desktop computing. Rather, mobility has profound consequences for the way in which we use computers. 1 For example, desktop users might concentrate on a computer display for long periods, but mobile users are often mobile because they want to interact with the world around them. Consequently, a common situation when using a PDA to find information about our immediate environment is to continuously switch between looking around and looking at the PDA display. What if we could instead visualize and interact with information directly in the context of our surround-ings? Our research group is exploring how augmented reality 2 (AR) could someday make this possible. AR integrates a complementary virtual world with the physical world—for example, by using head-tracked see-through head-worn displays to overlay graphics on what we see. Instead of looking back and forth between the real world and a PDA, we look directly at the real world and the virtual information overlaid on it. At the heart of this approach is context-aware computing, 3 computing systems that are sensitive to the context in which they operate, ranging from human relationships to physical location. For example, information might be tied to specific locations within a global, Earth-centered, coordinate system. 4 How can we design effective mobile AR user inter-faces? We've been trying to answer this question in part by developing the experimental AR research prototypes we describe here. In AR, as in work on information visu-alization using desktop technologies, the amount of information available can far exceed what a system can legibly display at a given time, necessitating information filtering. Julier et al. 5 have developed information filtering techniques for AR that depend on the user's goals, object importance, and proximity. In the descriptions that follow, we assume that a system can accomplish information filtering of this sort and that our system is displaying everything it should. We're especially interested in how an AR system could provide information at a glance to aid a mobile user exploring an unfamiliar environment. Such a user might be a tourist visiting a foreign city or a native trying to find a building from its address. …",,https://www.semanticscholar.org/paper/a227a27467eae5bdba55f63e2779302099473e2b,
102,Energy Data Collection Project Year 1,"The massive amount of statistical and text data available from Federal Agencies has created a set of daunting challenges to both research and analysis communities. These problems include heterogeneity, size, distribution, and control of terminology. At the Digital Government Research Center we are investigating solutions to three key problems, namely, (1) ontological mappings for terminology standardization; (2) data integration across data bases with high speed query processing; and (3) interfaces for query input and presentation of results. This collaboration between researchers from Columbia University and the Information Sciences Institute of the University of Southern California employs technology developed at both locations, in particular the SENSUS ontology, the SIMS multi-database access planner, the LKB automated dictionary and terminology analysis system, and others. The pilot application targets gasoline data from BLS, EIA, Census, and other agencies.",,https://www.semanticscholar.org/paper/c0596a0978e91fffbb046669e99a1ea33e42fa88,
3066,KVM for ARM,"As ARM CPUs grow in performance and ubiquity across phones, netbooks, and embedded computers, providing virtualization support for ARM-based devices is increasingly important. We present KVM/ARM, a KVM-based virtualization solution for ARM-based devices that can run virtual machines with nearly unmodified operating systems. Because ARM is not virtualizable, KVM/ARM uses lightweight paravirtualization, a script-based method to automatically modify the source code of an operating system kernel to allow it to run in a virtual machine. Lightweight paravirtualization is architecture specific, but operating system independent. It is minimally intrusive, completely automated, and requires no knowledge or understanding of the guest operating system kernel code. By leveraging KVM, which is an intrinsic part of the Linux kernel, KVM/ARM’s code base can be always kept in line with new kernel releases without additional maintenance costs, and can be easily included in most Linux distributions. We have implemented a KVM/ARM prototype based on the Linux kernel used in Google Android, and demonstrated its ability to successfully run nearly unmodified Linux guest operating systems.",,https://www.semanticscholar.org/paper/ff295ed8975c78be41d88455493d261bdb3ee18f,
1053,Bound-free pair production in relativistic nuclear collisions from the NICA to the HE LHC colliders,,2020-06-02,https://www.semanticscholar.org/paper/99482751b565309e528c1f464037729dcc579463,European Physical Journal A
2993,Microstructural evolution of DS CM186LC during creep and thermal exposure,,2000-03-01,https://www.semanticscholar.org/paper/1694fa77ff357c073837aca87687e66bc33d172b,
2353,Role of myeloperoxidase in intracellular and extracellular chemiluminescence of neutrophils.,"Activated polymorphonuclear leucocytes (neutrophils) can generate both intracellular and extracellular luminol dependent chemiluminescence. As luminol dependent chemiluminescence largely measures the activity of the myeloperoxidase-H2O2 system, and as the extracellular activity of this enzyme may be responsible for the tissue damage associated with inflammatory conditions such as rheumatoid arthritis, the aim of this work was to distinguish between intracellular and extracellular chemiluminescence so that the extracellular activity of this enzyme could be evaluated. Azide was used as a non-specific inhibitor of both intracellular and extracellular chemiluminescence, whereas anti-(human myeloperoxidase) IgG was used to inhibit specifically the extracellular activity of myeloperoxidase. Thus this IgG is a useful analytical tool for studying the extracellular activity of the myeloperoxidase-H2O2 system in the pathology of rheumatoid arthritis.",1989-01-01,https://www.semanticscholar.org/paper/4cfa5d1488717e4fbc3ce88c1afb3402919af596,Annals of the Rheumatic Diseases
3634,The design and evolution of C++,,,https://www.semanticscholar.org/paper/1251daa3bb5eaab0316bef252f2bf007e370c573,
704,The Complexity of Finding S-factors in Regular Graphs,"A graph G has an S-factor if there exists a spanning subgraph F of G such that for all v ∈ V : degF (v) ∈ S. The simplest example of such factor is a 1-factor, which corresponds to a perfect matching in a graph. In this paper we study the computational complexity of finding S-factors in regular graphs. Our techniques combine some classical as well as recent tools from graph theory. 2012 ACM Subject Classification Mathematics of computing → Matchings and factors; Theory of computation → Problems, reductions and completeness",,https://www.semanticscholar.org/paper/7d38c50398a8d94af33c3cbd8a7fe4edd9aba1a4,Electron. Colloquium Comput. Complex.
1084,LUX-ZEPLIN (LZ) Technical Design Report,In this Technical Design Report (TDR) we describe the LZ detector to be built at the Sanford Underground Research Facility (SURF). The LZ dark matter experiment is designed to achieve sensitivity to a WIMP-nucleon spin-independent cross section of three times ten to the negative forty-eighth square centimeters.,2017-03-27,https://www.semanticscholar.org/paper/b795d5b3dfc324346e40cac684f856c49248acbb,
2057,Using DEA for relative efficiency analysis of wafer fabrication facilities,"Semiconductor industry is capital-incentive, competitive, and having complicated manufacturing processes. It is essential to utilize resources efficiently to provide products and services for maintaining competitive advantages. Knowing whether the resource is properly utilized is the foundation for future improvements and/or production decision. Due to the disparate units involved, direct evaluation and comparison among the fabs is difficult. This study aims to develop a two-stage model for relative comparison on fabrication operations by adopting data envelopment analysis (DEA). The proposed model clearly defines and differentiates the performance of fab production, and provides an overall performance index while considering different aspects.",2008-10-01,https://www.semanticscholar.org/paper/d3aaad3e8cac28957dc87b3444c6e067d81b06b5,International Symposium on Semiconductor Manufacturing
2903,Predicting residual stress in a 316L electron beam weld joint incorporating plastic properties derived from a crystal plasticity finite element model,,2022-12-01,https://www.semanticscholar.org/paper/4e90bb0f343c0b534d29c8bffc13e9d4a568f2e9,International Journal of Pressure Vessels and Piping
2955,Erratum: Characterization of functional methylomes by next-generation capture sequencing identifies novel disease-associated variants,,2015-07-29,https://www.semanticscholar.org/paper/22f927c037e8d05a685684b8cdab1b4328e57fd4,Nature Communications
2619,A hypermedia authoring tool for augmented and virtual reality,"Most existing hypermedia authoring systems are intended for use on desktop computers. These systems are typically designed for the creation of 2D documents and therefore employ 2D authoring mechanisms. In contrast, authoring systems for nontraditional multimedia/hypermedia experiences for 3D virtual or augmented worlds focus mainly on creating separate media objects and embedding them within the user's surroundings. As a result, linking these media objects to create 3D hypermedia is a tedious manual task. To address this issue, we present an authoring tool for creating and editing linked 3D hypermedia narratives that are interwoven with a wearable computer user's surrounding environment. Our system is designed for use by authors who are not programmers, and allows them to preview their results on a desktop workstation, as well as with an augmented or virtual reality system.",2003-01-01,https://www.semanticscholar.org/paper/69834836ece8f5370b76507902f49356b192772f,New Rev. Hypermedia Multim.
1822,Hierarchical maximum entropy density estimation,"We study the problem of simultaneously estimating several densities where the datasets are organized into overlapping groups, such as a hierarchy. For this problem, we propose a maximum entropy formulation, which systematically incorporates the groups and allows us to share the strength of prediction across similar datasets. We derive general performance guarantees, and show how some previous approaches, such as hierarchical shrinkage and hierarchical priors, can be derived as special cases. We demonstrate the proposed technique on synthetic data and in a real-world application to modeling the geographic distributions of species hierarchically grouped in a taxonomy. Specifically, we model the geographic distributions of species in the Australian wet tropics and Northeast New South Wales. In these regions, small numbers of samples per species significantly hinder effective prediction. Substantial benefits are obtained by combining information across taxonomic groups.",2007-06-20,https://www.semanticscholar.org/paper/4854e506a1b19e6158bce5e5b43697d4aaa1c12a,International Conference on Machine Learning
3217,"Apparent Competition, Lion Predation, and Managed Livestock Grazing: Can Conservation Value Be Enhanced?","Predator restorations often result in apparent competition, where co-occurring prey populations experience asymmetric predation pressure driven by predator preferences. In many rangeland ecosystems, livestock share the landscape with wildlife, including ungulates and the large carnivores that consume them. We examined whether apparent competition reorganized prey communities following restoration of lions (Panthera leo) to a savanna ecosystem, and whether and how livestock management could alter this indirect interaction between lions and their prey. Three lines of evidence supported the hypothesis that Jackson’s hartebeest (Alcelaphus bucelaphus lelwel; an ungulate of conservation concern) are suppressed via lion-mediated apparent competition. First, hartebeest exhibited an Allee effect where they were exposed to lions, but displayed negative density-dependent population growth where they were protected from lions. Second, spatial overlap between plains zebra (Equus burchelli; the primary prey of lions) and hartebeest further exacerbated lion predation on hartebeest. Finally, hartebeest were killed selectively by lions, whereas zebra were killed by lions in proportion to their abundance. We then tested whether glades (nutrient-rich hotspots created by abandoned cattle [Bos indicus] corrals) could be used to manipulate top-down control of hartebeest via their influence on the spatial distribution of zebra. Zebra aggregated at glades, and survival of hartebeest increased with increasing distance from glades, suggesting that corrals may be placed on the landscape away from hartebeest to create spatial refuges from lions. Our findings demonstrate how informed placement of livestock corrals can be used to manipulate the spatial distribution of primary prey (zebra), thereby reducing apparent competition suffered by hartebeest. Our work further provides an example of how integrating apparent competition theory with proactive livestock management can improve conservation efforts in multiple-use landscapes.",,https://www.semanticscholar.org/paper/eda4a9915eaced140eb4376ef59c5b161091720a,Frontiers in Ecology and Evolution
1160,Evidence for the Decay B0s → D(*)sD(*)s and a Measurement of ΔΓCPs/Γs,"We search for the semi-inclusive process B 0 s → D ( * ) s D ( * ) s using 2.8 fb -1 of pp collisions at √s = 1.96 TeV recorded by the DO detector operating at the Fermilab Tevatron Collider. We observe 26.6 ± 8.4 signal events with a significance above background of 3.2 standard deviations yielding a branching ratio of B(B 0 s → D ( * ) s D ( * ) s ) = 0.035 ± 0.010(stat.) ± 0.011(syst.). Under certain theoretical assumptions, these double-charm final states saturate CP-even eigenstates in the B 0 s decays resulting in a width difference of ΔΓ CP s /Γ s = 0.072 ± 0.021(stat.) ± 0.022(syst.).",,https://www.semanticscholar.org/paper/75f3ba46882b88bc2c6a241938cbd6e11a8e7fb5,
