paper_id,title,abstract,date_published,url
1050,"Constraints on low-mass, relic dark matter candidates from a surface-operated SuperCDMS single-charge sensitive detector","This article presents an analysis and the resulting limits on light dark matter inelastically scattering off of electrons, and on dark photon and axion-like particle absorption, using a second-generation SuperCDMS high-voltage eV-resolution detector. The 0.93 gram Si detector achieved a 3 eV phonon energy resolution; for a detector bias of 100 V, this corresponds to a charge resolution of 3% of a single electron-hole pair. The energy spectrum is reported from a blind analysis with 1.2 gram-days of exposure acquired in an above-ground laboratory. With charge carrier trapping and impact ionization effects incorporated into the dark matter signal models, the dark matter-electron cross section $\bar{\sigma}_{e}$ is constrained for dark matter masses from 0.5--$10^{4} $MeV$/c^{2}$; in the mass range from 1.2--50 eV$/c^{2}$ the dark photon kinetic mixing parameter $\varepsilon$ and the axioelectric coupling constant $g_{ae}$ are constrained. The minimum 90% confidence-level upper limits within the above mentioned mass ranges are $\bar{\sigma}_{e}\,=\,8.7\times10^{-34}$ cm$^{2}$, $\varepsilon\,=\,3.3\times10^{-14}$, and $g_{ae}\,=\,1.0\times10^{-9}$.",2020-05-28,https://www.semanticscholar.org/paper/43dfcef1f5c45674aeceab7f4300b05d3844e3ab,Physical Review D
919,The Clique Problem for Planar Graphs,,,https://www.semanticscholar.org/paper/1af1c38925c2df2d192203a6f19c124b0b5814b6,Information Processing Letters
1610,Dose-response modeling in high-throughput cancer drug screenings: an end-to-end approach.,"Personalized cancer treatments based on the molecular profile of a patient's tumor are an emerging and exciting class of treatments in oncology. As genomic tumor profiling is becoming more common, targeted treatments for specific molecular alterations are gaining traction. To discover new potential therapeutics that may apply to broad classes of tumors matching some molecular pattern, experimentalists and pharmacologists rely on high-throughput, in vitro screens of many compounds against many different cell lines. We propose a hierarchical Bayesian model of how cancer cell lines respond to drugs in these experiments and develop a method for fitting the model to real-world high-throughput screening data. Through a case study, the model is shown to capture nontrivial associations between molecular features and drug response, such as requiring both wild type TP53 and overexpression of MDM2 to be sensitive to Nutlin-3(a). In quantitative benchmarks, the model outperforms a standard approach in biology, with $\approx20\%$ lower predictive error on held out data. When combined with a conditional randomization testing procedure, the model discovers markers of therapeutic response that recapitulate known biology and suggest new avenues for investigation. All code for the article is publicly available at https://github.com/tansey/deep-dose-response.",2018-12-13,https://www.semanticscholar.org/paper/ba84afa9279d794cada027bed70e9a343b9add6e,Biostatistics
257,"Games, algorithms, and the Internet","The advent of the Internet brought parallel paradigm shifts to both Economics and Computer Science. Computer scientists realized that large-scale performing systems can emerge from the interaction of selfish agents and that incentives are a quintessential part of a good system design. And economists saw that the default platforms of economic transactions are computational and interconnected. Algorithmic Game Theory is a subdiscipline that emerged from this turmoil, revisiting some of the most important problems in Economics and Game Theory from a computational and network perspective. This talk will survey some of the major themes, results and challenges in this field.",2011-03-28,https://www.semanticscholar.org/paper/bb149415a6f994f19558b455d1366c429b2249cc,The Web Conference
3007,Formal Verification of a Multiprocessor Hypervisor on Arm Relaxed Memory Hardware,"Concurrent systems software is widely-used, complex, and error-prone, posing a significant security risk. We introduce VRM, a new framework that makes it possible for the first time to verify concurrent systems software, such as operating systems and hypervisors, on Arm relaxed memory hardware. VRM defines a set of synchronization and memory access conditions such that a program that satisfies these conditions can be mostly verified on a sequentially consistent hardware model and the proofs will automatically hold on relaxed memory hardware. VRM can be used to verify concurrent kernel code that is not data race free, including code responsible for managing shared page tables in the presence of relaxed MMU hardware. Using VRM, we verify the security guarantees of a retrofitted implementation of the Linux KVM hypervisor on Arm. For multiple versions of KVM, we prove KVM's security properties on a sequentially consistent model, then prove that KVM satisfies VRM's required program conditions such that its security proofs hold on Arm relaxed memory hardware. Our experimental results show that the retrofit and VRM conditions do not adversely affect the scalability of verified KVM, as it performs similar to unmodified KVM when concurrently running many multiprocessor virtual machines with real application workloads on Arm multiprocessor server hardware. Our work is the first machine-checked proof for concurrent systems software on Arm relaxed memory hardware.",2021-10-26,https://www.semanticscholar.org/paper/59c83a2ced9816343098d85cdc7c12d806838fce,Symposium on Operating Systems Principles
2061,Editorial e-Manufacturing in the Semiconductor Industry,The 11 papers in this special issue focus on e-manufacturing in the semiconductor industry.,2007-10-01,https://www.semanticscholar.org/paper/1dc52187db9b992016e15e1822bca36d7581557b,IEEE Transactions on Automation Science and Engineering
2790,Galectin-7 downregulation in lesional keratinocytes contributes to enhanced IL-17A signaling and skin pathology in psoriasis.,"Psoriasis is a chronic inflammatory skin disease characterized by inflammatory cell infiltration, as well as hyperproliferation of keratinocytes in skin lesions, and is considered a metabolic syndrome. We found that the expression of galectin-7 is reduced in the skin lesions of patients with psoriasis. IL-17A and TNF-α, two cytokines intimately involved in the development of psoriatic lesions, suppressed galectin-7 expression in human primary keratinocytes (HEKn cells) and the immortalized human keratinocyte cell line HaCaT. A galectin-7 knockdown in these cells elevated the production of IL-6 and IL-8 and enhanced ERK signaling when the cells were stimulated with IL-17A. Galectin-7 attenuated IL-17A-induced production of inflammatory mediators by keratinocytes via the miR-146a-ERK pathway. Moreover, galectin-7-deficient mice showed enhanced epidermal hyperplasia and skin inflammation in response to intradermal IL-23 injection. We identified fluvastatin as an inducer of galectin-7 expression by connectivity map (cMAP) analysis, confirmed this effect in keratinocytes, and demonstrated that fluvastatin attenuated IL-6 and IL-8 production induced by IL-17A. Thus, we validate a role of galectin-7 in the pathogenesis of psoriasis, in both epidermal hyperplasia and keratinocyte-mediated inflammatory responses, and formulated a rationale for the use of statins in the treatment of psoriasis.",2020-10-15,https://www.semanticscholar.org/paper/ef1365b63e11d75e6c0474452533535ab90ced13,Journal of Clinical Investigation
1824,The nested chinese restaurant process and bayesian nonparametric inference of topic hierarchies,"We present the nested Chinese restaurant process (nCRP), a stochastic process that assigns probability distributions to ensembles of infinitely deep, infinitely branching trees. We show how this stochastic process can be used as a prior distribution in a Bayesian nonparametric model of document collections. Specifically, we present an application to information retrieval in which documents are modeled as paths down a random tree, and the preferential attachment dynamics of the nCRP leads to clustering of documents according to sharing of topics at multiple levels of abstraction. Given a corpus of documents, a posterior inference algorithm finds an approximation to a posterior distribution over trees, topics and allocations of words to levels of the tree. We demonstrate this algorithm on collections of scientific abstracts from several journals. This model exemplifies a recent trend in statistical machine learning—the use of Bayesian nonparametric methods to infer distributions on flexible data structures.",2007-10-03,https://www.semanticscholar.org/paper/6d296b269991f165b650a6360254a7413e966d27,JACM
3653,Parameterized Types for C++,"Type parameterization is the ability to defrne a type in terms of another, unspecifled, type. Versions of the parameterized type may then be created for several particular parameter types. A language supporting type parameterization allows specification ofgeneral container types such as list, vector, and associative array where the specific type of the elements is left as a parameter. Thus, a parameterized class specifies an unbounded set of related types; for example: list of int, list of name, list of shape, etc. Type parameterization is one way of making a language more extensible. In the context of C++, the problems are",1989-01-03,https://www.semanticscholar.org/paper/b176b1368c966f248e906379b831df5d1b51a7c7,C++ Conference
834,Linear approximation of shortest superstrings,"We consider the following problem: given a collection of strings <italic>s<subscrpt>1</subscrpt></italic>,…, <italic>s<subscrpt>m</subscrpt></italic>, find the shortest string <italic>s</italic> such that each <italic>s<subscrpt>i</subscrpt></italic> appears as a substring (a consecutive block) of <italic>s</italic>. Although this problem is known to be NP-hard, a simple greedy procedure appears to do quite well and is routinely used in DNA sequencing and data compression practice, namely: repeatedly merge the pair of (distinct) strings with maximum overlap until only one string remains. Let <italic>n</italic> denote the length of the optimal superstring. A common conjecture states that the above greedy procedure produces a superstring of length <italic>O(n)</italic> (in fact, 2<italic>n</italic>), yet the only previous nontrivial bound known for any polynomial-time algorithm is a recent <italic>O(n</italic> log <italic>n</italic>) result.
We show that the greedy algorithm does in fact achieve a constant factor approximation, proving an upper bound of 4<italic>n</italic>. Furthermore, we present a simple modified version of the greedy algorithm that we show produces a superstring of length at most 3<italic>n</italic>. We also show the superstring problem to be MAXSNP-hard, which implies that a polynomial-time approximation scheme for this problem is unlikely.",1994-07-01,https://www.semanticscholar.org/paper/b9bd744a4337f4469afaa246cd34990908a2561d,JACM
1578,The Medical Deconfounder: Assessing Treatment Effect with Electronic Health Records (EHRs),"Causal estimation of treatment effect has an important role in guiding physicians' decision process for drug prescription. While treatment effect is classically assessed with randomized controlled trials (RCTs), the availability of electronic health records (EHRs) bring an unprecedented opportunity for more efficient estimation. However, the presence of unobserved confounders makes treatment effect assessment from EHRs a challenging task. Confounders are the variables that affect both drug prescription and the patient's outcome; examples include a patient's gender, race, social economic status and comorbidities. When these confounders are unobserved, they bias the estimation. To adjust for unobserved confounders, we develop the medical deconfounder, a machine learning algorithm that unbiasedly estimates treatment effect from EHRs. The medical deconfounder first constructs a substitute confounder by modeling which drugs were prescribed to each patient; this substitute confounder is guaranteed to capture all multi-drug confounders, observed or unobserved (Wang and Blei, 2018). It then uses this substitute confounder to adjust for the confounding bias in the analysis. We validate the medical deconfounder on simulations and two medical data sets. The medical deconfounder produces closer-to-truth estimates in simulations and identifies effective medications that are more consistent with the findings reported in the medical literature compared to classical approaches.",2019-04-03,https://www.semanticscholar.org/paper/b352c244259c17eecea8dc50a53ca1d694357e4c,arXiv.org
1570,"Bayesian Tensor Filtering: Smooth, Locally-Adaptive Factorization of Functional Matrices","We consider the problem of functional matrix factorization, finding low-dimensional structure in a matrix where every entry is a noisy function evaluated at a set of discrete points. Such problems arise frequently in drug discovery, where biological samples form the rows, candidate drugs form the columns, and entries contain the dose-response curve of a sample treated at different concentrations of a drug. We propose Bayesian Tensor Filtering (BTF), a hierarchical Bayesian model of matrices of functions. BTF captures the smoothness in each individual function while also being locally adaptive to sharp discontinuities. The BTF model is agnostic to the likelihood of the underlying observations, making it flexible enough to handle many different kinds of data. We derive efficient Gibbs samplers for three classes of likelihoods: (i) Gaussian, for which updates are fully conjugate; (ii) Binomial and related likelihoods, for which updates are conditionally conjugate through P{\'o}lya--Gamma augmentation; and (iii) Black-box likelihoods, for which updates are non-conjugate but admit an analytic truncated elliptical slice sampling routine. We compare BTF against a state-of-the-art method for dynamic Poisson matrix factorization, showing BTF better reconstructs held out data in synthetic experiments. Finally, we build a dose-response model around BTF and show on real data from a multi-sample, multi-drug cancer study that BTF outperforms the current standard approach in biology. Code for BTF is available at https://github.com/tansey/functionalmf.",2019-06-10,https://www.semanticscholar.org/paper/47f247ef2fe0308087bc63dc8011e7b63f3d3aa6,arXiv.org
2892,Grain Size and Shape Dependent Crystal Plasticity Finite Element Model and its Application to Electron Beam Welded Ss316l,,2023-06-01,https://www.semanticscholar.org/paper/3f40540c07bc543ee4a4aac46ac8b1f133c87582,Social Science Research Network
386,Deciding stability and mortality of piecewise affine dynamical systems,,2001-03-28,https://www.semanticscholar.org/paper/67ff0a9fa5a1973d7f37178461d47acfd857c35a,Theoretical Computer Science
2175,Modified culture protocol for differentiation of human promyelocytic leukaemia PLB-985 cell-line into mature neutrophil-like granulocytes,"
 Neutrophils are considered to be mature and terminally differentiated. They are short-lived, lack proliferation capacity and are impossible to transfect in vitro to express exogenous genes or proteins. These properties have made their ex vivo experimental manipulation and biochemical studies of their signal activation mechanisms and genetic makeup, challenging. Establishment of cell line models capable of differentiating along the myeloid lineage into mature neutrophil-like granulocytes, with similar morphological and functional properties to blood neutrophils would, therefore, be an important tool to enable transfection of key genes and determine the effects of such manipulations on neutrophil functions. PLB-985 is a recently established cell line that has been demonstrated to show greater levels of differentiation into granulocyte in the presence of appropriate differentiation-inducing agents, but the efficiency of differentiation reported so far was very low, and the differentiated cells only partly resembled mature blood neutrophils. This study developed a modified differentiation protocol and an optimised culture conditions that induced the PLB-985 cell line to differentiate into mature, neutrophil-like granulocytes, Terminally-differentiated, neutrophil-like phenotypes of PLB-985 cells that resembled mature blood neutrophil morphology, and which had an appreciably delayed apoptosis have been consistently cultured. This was evident by the acquisition of multi-lobed nucleus, granulated cytoplasm and delayed apoptosis. The differentiated PLB-985 cells may, therefore, provide an excellent neutrophil-model system for in vitro study of neutrophil differentiation, signalling and functions.",2020-05-01,https://www.semanticscholar.org/paper/afd6c5e13e2272a06a141f421a3a4f70259d077b,Journal of Immunology
2299,"Neutrophils from the synovial fluid of patients with rheumatoid arthritis express the high affinity immunoglobulin G receptor, FcγRI (CD64): role of immune complexes and cytokines in induction of receptor expression","Neutrophils isolated from the synovial fluid of 16/24 patients with rheumatoid arthritis expressed FcγRI (CD64), the high‐affinity receptor for monomeric immunoglobulin G (IgG), on their cell surface. Receptor expression ranged from 17% to 168% of the level of expression obtained after incubation of control blood neutrophils with 100 U/ml interferon‐γ (IFN‐γ) for 24 hr in vitro. Similarly, mRNA for FcγRI was detected in synovial fluid neutrophils from 12/15 patients and transcript levels ranged from 5% to 200% of the values obtained after treatment of blood neutrophils with IFN‐γ for 4 hr in vitro. No surface expression nor mRNA were detected in freshly isolated blood neutrophils from either patients or from healthy controls. Addition of cell‐free synovial fluid to control blood neutrophils induced both mRNA and surface expression of FcγRI to levels that were comparable to those achieved after addition of IFN‐γ. Neither soluble nor insoluble immune complexes appeared to be involved in induction of FcγRI expression in spite of the ability of these complexes to induce protein biosynthesis. Synovial fluid‐induced expression of FcγRI was partially blocked by incubation with neutralizing IFN‐γ antibodies, whilst neutralizing interleukin (IL)‐6 antibodies had little effect. Levels of IFN‐γ measured within these synovial fluids ranged from 0 to 2·7 U/ml, well within the range known to induce neutrophil FcγRI expression. These data thus indicate that gene expression in synovial fluid neutrophils is selectively activated as the cells enter the diseased joint. Furthermore, these data indicate that induced expression of FcγRI may alter the ability of infiltrating neutrophils to respond to IgG‐containing immune complexes present in these joints.",1997-06-01,https://www.semanticscholar.org/paper/8fc14c3ddf3bd1d58b75e213bf67164b318cb458,Immunology
391,Auditing Boolean attributes,"We study the problem of auditing databases which support statistical sum queries to protect the security of sensitive information; we focus on the special case in which the sensitive information is Boolean. Principles and techniques developed for the security of statistical database in the case of continuous attributes do not apply here. We prove certain strong complexity results suggesting that there is no general efficient solution for the auditing problem in this case. We propose two efficient algorithms: The first is applicable when the sum queries are one-dimensional range queries (we prove that the problem is NP-hard even in the two-dimensional case). The second is an approximate algorithm that maintains security, although it may be too restrictive. Finally, we consider a “dual” variant, with continuous data but an aggregate function that is combinatorial in nature. Specifically, we provide algorithms for two natural definitions of the auditing condition when the aggregate function is MAX.",2000-05-01,https://www.semanticscholar.org/paper/333a016bc00ff74da51ebf51f1c4f80298db7122,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems
2387,The mitochondrial adenosine triphosphatase of Acanthamoeba castellanii. Partial characterization and changes in activity during exponential growth.,,,https://www.semanticscholar.org/paper/66d03c3b665332a0befc03bd3d8b4ed7e9254bf0,"Comparative biochemistry and physiology. B, Comparative biochemistry"
3402,Minimizing Maximum Flow Time on Related Machines via Dynamic Posted Pricing,"We consider a setting where selfish agents want to schedule jobs on related machines. The agent submitting a job picks a server that minimizes a linear combination of the server price and the resulting response time for that job on the selected server. The manager’s task is to maintain server prices to (approximately) optimize the maximum response time, which is a measure of social good. We show that the existence of a pricing scheme with certain competitiveness is equivalent to the existence of a monotone immediate-dispatch algorithm. Our main result is a monotone immediate-dispatch algorithm that is O(1)-competitive with respect to the maximum response time. 1998 ACM Subject Classification F.2.2 [Nonnumerical Algorithms and Problem]: Sequencing",,https://www.semanticscholar.org/paper/5368e327f1f41557c69651458c8547c77311c410,Embedded Systems and Applications
1686,The Survival Filter: Joint Survival Analysis with a Latent Time Series,"Survival analysis is a core task in applied statistics, which models time-to-failure or time-to-event data. In the clinical domain, for example, meaningful events are defined as the onset of different diseases for a given patient. Survival analysis is limited, however, for analyzing modern electronic health records. Patients often have a wide range of diseases, and there are complex interactions among the relative risks of different events. To this end, we develop the survival filter model, a time-series model for joint survival analysis that models multiple patients and multiple diseases. We develop a scalable variational inference algorithm and apply our method to a large data set of longitudinal patient records. The survival filter gives good predictive performance when compared to two baselines and identifies clinically meaningful patterns of disease interaction.",2015-07-12,https://www.semanticscholar.org/paper/9f08a5e4360a7823e596ed4567a5f671ec3759a3,Conference on Uncertainty in Artificial Intelligence
2800,Galectin-3 promotes HIV-1 budding via association with Alix and Gag p6.,"Galectin-3 has been reported to regulate the functions of a number of immune cell types. We previously reported that galectin-3 is translocated to immunological synapses in T cells upon T-cell receptor engagement, where it associates with ALG-2-interacting protein X (Alix). Alix is known to coordinate with the endosomal sorting complex required for transport (ESCRT) to promote human immunodeficiency virus (HIV)-1 virion release. We hypothesized that galectin-3 plays a role in HIV-1 viral budding. Cotransfection of cells of the Jurkat T line with galectin-3 and HIV-1 plasmids resulted in increased HIV-1 budding, and suppression of galectin-3 expression by RNAi in Hut78 and primary CD4+ T cells led to reduced HIV-1 budding. We used immunofluorescence microscopy to observe the partial colocalization of galectin-3, Alix and Gag in HIV-1-infected cells. Results from co-immunoprecipitation experiments indicate that galectin-3 expression promotes Alix-Gag p6 association, whereas the results of Alix knockdown suggest that galectin-3 promotes HIV-1 budding through Alix. HIV-1 particles released from galectin-3-expressing cells acquire the galectin-3 protein in an Alix-dependent manner, with proteins primarily residing inside the virions. We also found that the galectin-3 N-terminal domain interacts with the proline-rich region of Alix. Collectively, these results suggest that endogenous galectin-3 facilitates HIV-1 budding by promoting the Alix-Gag p6 association.",2014-11-01,https://www.semanticscholar.org/paper/7f8c1a8f85cce48d532c1573262911d5f07074c5,Glycobiology
156,Online Stochastic Max-Weight Bipartite Matching: Beyond Prophet Inequalities,"The rich literature on online Bayesian selection problems has long focused on so-called prophet inequalities, which compare the gain of an online algorithm to that of a ""prophet"" who knows the future. An equally-natural, though significantly less well-studied benchmark is the optimum online algorithm, which may be omnipotent (i.e., computationally-unbounded), but not omniscient. What is the computational complexity of the optimum online? How well can a polynomial-time algorithm approximate it? Motivated by applications in ride hailing, we study the above questions for the online stochastic maximum-weight matching problem under vertex arrivals. This problem was recently introduced by Ezra, Feldman, Gravin and Tang (EC'20), who gave a 1/2-competitive algorithm for it. This is the best possible ratio, as this problem is a generalization of the original single-item prophet inequality. We present a polynomial-time algorithm which approximates optimal online within a factor of 0.51---beating the best-possible prophet inequality. At the core of our result are a new linear program formulation, an algorithm that tries to match the arriving vertices in two attempts, and an analysis that bounds the correlation resulting from the second attempts. In contrast, we show that it is PSPACE-hard to approximate this problem within some constant α < 1.",2021-02-20,https://www.semanticscholar.org/paper/1c8a05b5f15067d5c40c933539239c5d1c304e8b,ACM Conference on Economics and Computation
2908,"Correlation study on tensile properties of Cu, CuCrZr and W by small punch test and uniaxial tensile test",,2022-04-01,https://www.semanticscholar.org/paper/8d1d5ec9df0707f9193afa157f30cc33420226fd,Fusion engineering and design
